strain,condition,slevel,rep,batch,time,N,CCNA_00001,CCNA_00002,CCNA_00003,CCNA_00004,CCNA_00005,CCNA_00006,CCNA_00007,CCNA_00008,CCNA_00009,CCNA_00010
DLON,heat,MEDIUM,2,2,24,145473,6,85,66,0,0,49,0,0,27,3
DLON,heat,MEDIUM,3,3,24,155984,7,70,50,1,0,56,0,0,32,5
DLON,heat,MEDIUM,4,4,24,151398,4,80,59,1,0,41,0,0,31,3
DLON,none,none,1,1,24,205327,28,93,66,0,0,48,0,0,31,12
DLON,none,none,2,2,24,182430,21,93,66,0,0,52,1,0,26,13
DLON,none,none,3,3,24,158440,29,68,42,1,0,40,0,0,33,8
DLON,none,none,4,4,24,158630,17,63,53,0,1,42,0,0,30,10
DLON,oxidative-peroxide,HIGH,1,2,24,63581,6,27,26,0,0,17,0,0,11,5
DLON,oxidative-peroxide,HIGH,2,3,24,40465,6,14,18,0,3,13,0,0,8,6
DLON,oxidative-peroxide,HIGH,3,4,24,65253,20,28,19,0,3,23,0,0,17,1
DLON,oxidative-peroxide,LOW,1,1,24,135648,13,81,49,0,0,43,0,0,21,7
DLON,oxidative-peroxide,LOW,2,2,24,165393,17,91,54,0,0,56,0,0,27,7
DLON,oxidative-peroxide,LOW,3,3,24,150009,21,71,45,1,1,51,0,0,27,13
DLON,oxidative-peroxide,LOW,4,4,24,141890,22,60,58,0,0,40,0,0,20,8
DLON,oxidative-peroxide,MEDIUM,1,1,24,193494,10,89,56,0,1,117,0,0,29,18
DLON,oxidative-peroxide,MEDIUM,2,2,24,64133,4,29,16,0,0,38,0,0,16,8
DLON,oxidative-peroxide,MEDIUM,3,3,24,99095,8,39,31,0,0,73,0,0,13,14
DLON,oxidative-peroxide,MEDIUM,4,4,24,115724,8,54,30,0,0,53,0,0,17,11
dnak-dnaJ,canavanine,HIGH,1,1,24,40328,0,37,15,0,0,7,0,0,0,0
dnak-dnaJ,canavanine,HIGH,2,2,24,34912,0,38,14,0,0,5,0,0,0,0
dnak-dnaJ,canavanine,HIGH,3,3,24,32974,0,30,12,0,0,5,0,0,0,0
dnak-dnaJ,canavanine,HIGH,4,4,24,27363,0,29,14,0,1,4,0,0,0,0
dnak-dnaJ,canavanine,LOW,1,1,24,45486,0,30,19,0,0,9,0,0,0,1
dnak-dnaJ,canavanine,LOW,2,2,24,32743,0,37,13,0,0,5,0,0,0,0
dnak-dnaJ,canavanine,LOW,3,3,24,23500,0,23,12,0,0,5,0,0,0,0
dnak-dnaJ,canavanine,LOW,4,4,24,32100,0,32,23,0,1,7,0,0,0,0
dnak-dnaJ,canavanine,MEDIUM,1,1,24,43778,1,37,16,0,1,6,0,0,0,0
dnak-dnaJ,canavanine,MEDIUM,2,2,24,36228,1,29,18,0,0,7,0,0,0,0
dnak-dnaJ,canavanine,MEDIUM,3,3,24,29366,0,29,11,0,0,6,0,0,0,0
dnak-dnaJ,canavanine,MEDIUM,4,4,24,29332,1,27,11,0,0,6,0,0,0,0
dnak-dnaJ,heat,HIGH,1,1,24,51049,0,41,18,0,0,9,0,0,1,0
dnak-dnaJ,heat,HIGH,2,2,24,44610,0,36,14,0,0,13,0,0,0,0
dnak-dnaJ,heat,HIGH,3,3,24,30934,0,33,9,0,0,6,0,0,0,0
dnak-dnaJ,heat,HIGH,4,4,24,31567,1,40,15,1,0,5,0,0,0,0
dnak-dnaJ,heat,LOW,1,1,24,49957,0,50,22,0,0,10,0,0,0,0
dnak-dnaJ,heat,LOW,2,2,24,49399,2,42,16,0,0,6,0,0,1,0
dnak-dnaJ,heat,LOW,3,3,24,32005,0,24,10,0,0,6,0,0,0,0
dnak-dnaJ,heat,LOW,4,4,24,31092,0,27,18,0,1,6,0,0,0,0
dnak-dnaJ,heat,MEDIUM,1,1,24,50990,0,41,14,0,0,8,0,0,0,0
dnak-dnaJ,heat,MEDIUM,2,2,24,45352,3,39,14,0,0,9,0,0,1,1
dnak-dnaJ,heat,MEDIUM,3,3,24,30180,1,31,12,0,1,5,0,0,0,0
dnak-dnaJ,heat,MEDIUM,4,4,24,30859,0,31,17,0,1,4,0,0,0,0
dnak-dnaJ,none,none,1,1,24,50851,1,41,19,0,3,9,0,0,0,0
dnak-dnaJ,none,none,2,2,24,48473,0,37,17,0,1,5,0,0,0,0
dnak-dnaJ,none,none,3,3,24,30694,0,31,16,0,1,6,0,0,0,0
dnak-dnaJ,none,none,4,4,24,34010,0,39,21,0,1,7,0,0,0,0
dnak-dnaJ,oxidative-peroxide,HIGH,1,1,24,38437,0,33,18,0,1,7,0,0,0,0
dnak-dnaJ,oxidative-peroxide,HIGH,2,2,24,44075,3,33,23,0,1,7,0,0,1,0
dnak-dnaJ,oxidative-peroxide,HIGH,3,3,24,31873,1,29,10,0,1,6,0,0,0,0
dnak-dnaJ,oxidative-peroxide,HIGH,4,4,24,28806,0,26,8,0,1,3,0,0,0,0
dnak-dnaJ,oxidative-peroxide,LOW,1,1,24,39836,3,31,17,0,0,7,0,0,0,0
dnak-dnaJ,oxidative-peroxide,LOW,2,2,24,31872,0,30,15,0,1,6,0,0,0,0
dnak-dnaJ,oxidative-peroxide,LOW,3,3,24,29407,0,21,11,0,1,6,0,0,0,0
dnak-dnaJ,oxidative-peroxide,LOW,4,4,24,26073,0,26,13,0,1,5,0,0,0,0
dnak-dnaJ,oxidative-peroxide,MEDIUM,1,1,24,60404,1,56,23,0,0,10,0,0,0,0
dnak-dnaJ,oxidative-peroxide,MEDIUM,2,2,24,43844,1,42,13,0,0,7,0,0,0,0
dnak-dnaJ,oxidative-peroxide,MEDIUM,3,3,24,30502,0,29,11,0,1,7,0,0,0,0
dnak-dnaJ,oxidative-peroxide,MEDIUM,4,4,24,27109,0,28,12,0,0,4,0,0,0,0
wild-type,canavanine,HIGH,1,1,24,198654,5,124,34,0,1,27,2,0,34,9
wild-type,canavanine,HIGH,2,2,24,168625,9,99,43,1,0,13,0,0,38,4
wild-type,canavanine,HIGH,3,2,24,180051,11,94,43,0,1,13,0,0,34,8
wild-type,canavanine,HIGH,4,4,24,163956,8,79,50,0,1,20,0,0,24,7
wild-type,canavanine,LOW,1,1,24,202440,40,110,50,0,0,32,0,0,40,6
wild-type,canavanine,LOW,2,2,24,178432,36,99,61,0,0,25,0,0,34,3
wild-type,canavanine,LOW,3,3,24,154767,28,81,37,0,0,28,0,0,29,4
wild-type,canavanine,LOW,4,4,24,161931,31,73,49,0,0,22,0,0,25,4
wild-type,canavanine,MEDIUM,1,1,24,325999,55,165,76,0,3,47,0,0,62,13
wild-type,canavanine,MEDIUM,2,2,24,163757,21,100,41,1,0,16,0,0,35,3
wild-type,canavanine,MEDIUM,3,3,24,157495,29,78,37,0,1,21,0,0,35,5
wild-type,canavanine,MEDIUM,4,4,24,163404,27,97,40,0,0,20,0,0,32,4
wild-type,heat,HIGH,1,1,24,310745,5,150,83,0,0,37,0,0,48,6
wild-type,heat,HIGH,2,2,24,155985,8,91,47,0,1,10,0,0,15,3
wild-type,heat,HIGH,3,2,24,154982,5,96,50,0,0,15,0,0,29,1
wild-type,heat,HIGH,4,4,24,174311,7,89,54,0,2,24,1,0,39,5
wild-type,heat,LOW,1,1,24,146288,25,90,46,0,0,24,0,0,36,7
wild-type,heat,LOW,2,2,24,169409,8,101,38,0,0,31,0,0,48,9
wild-type,heat,LOW,3,2,24,192030,14,92,43,0,0,21,0,0,48,7
wild-type,heat,LOW,4,4,24,163074,29,95,42,0,0,18,0,0,26,7
wild-type,heat,MEDIUM,1,1,24,219596,4,117,67,0,0,32,0,0,48,5
wild-type,heat,MEDIUM,2,2,24,159250,10,108,45,0,0,16,0,0,34,1
wild-type,heat,MEDIUM,3,2,24,196314,7,104,56,0,0,19,0,0,46,7
wild-type,heat,MEDIUM,4,4,24,162679,6,95,32,0,2,31,0,0,43,5
wild-type,none,none,1,1,24,336157,67,186,101,0,4,52,1,0,72,11
wild-type,none,none,2,2,24,181725,30,86,56,0,1,21,0,0,31,11
wild-type,none,none,3,2,24,157902,29,97,53,0,0,24,1,0,23,7
wild-type,none,none,4,4,24,153568,28,74,34,0,0,26,0,0,41,5
wild-type,oxidative-peroxide,HIGH,1,1,24,210268,23,135,30,1,0,52,1,0,46,8
wild-type,oxidative-peroxide,HIGH,2,2,24,177567,33,108,29,0,0,30,0,0,42,8
wild-type,oxidative-peroxide,HIGH,3,2,24,202525,24,96,24,0,0,52,0,0,55,17
wild-type,oxidative-peroxide,HIGH,4,4,24,151665,8,80,31,2,0,52,0,0,24,9
wild-type,oxidative-peroxide,LOW,1,1,24,168797,29,113,41,0,3,22,0,0,31,7
wild-type,oxidative-peroxide,LOW,2,2,24,158360,34,88,65,0,0,15,0,0,23,12
wild-type,oxidative-peroxide,LOW,3,2,24,193206,33,101,50,0,3,31,0,0,33,8
wild-type,oxidative-peroxide,LOW,4,4,24,168408,38,74,55,0,0,25,1,0,42,9
wild-type,oxidative-peroxide,MEDIUM,1,1,24,250223,41,148,55,0,0,44,0,0,44,11
wild-type,oxidative-peroxide,MEDIUM,2,2,24,163729,21,98,42,0,0,25,1,0,31,4
wild-type,oxidative-peroxide,MEDIUM,3,2,24,201189,25,89,33,3,4,41,0,0,68,9
wild-type,oxidative-peroxide,MEDIUM,4,4,24,159799,30,72,30,0,0,30,0,0,34,7
